author,stars,title
Refridgerator,116,Как нарисовать звезду (и не только) в полярных координатах
dlinyj,25,Повесть о трекболах
mkevac,46,"eBPF: современные возможности интроспекции в Linux, или Ядро больше не черный ящик"
glebmachine,6,25 и 26 сентября — открытые дни на Frontend Live
artmv32,128,О работе ПК ч.3: От включения до полной загрузки Windows 10
feldsherov,15,Технология Apphost: альтернативная вселенная микросервисов в Яндексе
ragequit,20,OpenPGP переписывают на Rust: проект Sequoia
Pixonic,27,Ampere — новейшая игровая архитектура NVIDIA. Самое важное из вайт пейпера
SergeAx,49,"Переписывание истории репозитория кода, или почему иногда можно git push -f"
SergeyFolimonov,8,"Сим-сим, откройся! — Как мы запустили проект «Открытые данные»"
art_pro,41,Лучшие инструменты с открытым исходным кодом и библиотеки для Deep Learning — ICLR 2020 Experience
Firemoon,19,Морской бой в PostgreSQL
JSOC_CERT,11,Чем нас «радовали» злоумышленники последние полгода
SLY_G,15,"Внутренности HP Nanoprocessor: высокоскоростной процессор, не умеющий складывать"
pavel_venediktov,16,Как плохо настроенная БД позволила захватить целое облако с 25 тысячами хостов
vdsina_m,17,Какие возможности появились у утилиты rdiff-backup благодаря миграции на Python 3
romanitalian_net,23,Защита фото от систем распознавания лиц работает?
ru_vds,15,Выработка уникальных идей для Data Science-проектов за 5 шагов
d_rodionov,11,Звук. От механических колебаний до ALSA SoC Layer
sowow359,19,Как мы оркестрируем процессы обработки данных с помощью Apache Airflow
