author,stars,title
Refridgerator,116,Как нарисовать звезду (и не только) в полярных координатах
dlinyj,27,Повесть о трекболах
mkevac,49,"eBPF: современные возможности интроспекции в Linux, или Ядро больше не черный ящик"
glebmachine,6,25 и 26 сентября — открытые дни на Frontend Live
artmv32,131,О работе ПК ч.3: От включения до полной загрузки Windows 10
feldsherov,16,Технология Apphost: альтернативная вселенная микросервисов в Яндексе
ragequit,20,OpenPGP переписывают на Rust: проект Sequoia
Pixonic,28,Ampere — новейшая игровая архитектура NVIDIA. Самое важное из вайт пейпера
SergeAx,50,"Переписывание истории репозитория кода, или почему иногда можно git push -f"
SergeyFolimonov,8,"Сим-сим, откройся! — Как мы запустили проект «Открытые данные»"
art_pro,43,Лучшие инструменты с открытым исходным кодом и библиотеки для Deep Learning — ICLR 2020 Experience
Firemoon,19,Морской бой в PostgreSQL
vdsina_m,18,Какие возможности появились у утилиты rdiff-backup благодаря миграции на Python 3
JSOC_CERT,11,Чем нас «радовали» злоумышленники последние полгода
SLY_G,17,"Внутренности HP Nanoprocessor: высокоскоростной процессор, не умеющий складывать"
pavel_venediktov,16,Как плохо настроенная БД позволила захватить целое облако с 25 тысячами хостов
romanitalian_net,23,Защита фото от систем распознавания лиц работает?
Seleditor,12,Precursor — собери сам свое open-source мобильное устройство с криптографической защитой
ru_vds,16,Выработка уникальных идей для Data Science-проектов за 5 шагов
d_rodionov,11,Звук. От механических колебаний до ALSA SoC Layer
