id,date,views,likes,reposts,body,comments
3129,1601040600,419,1,0,"СПЕЦИАЛИСТ ПО ОБСЛУЖИВАНИЮ СРЕДСТВ ПЕЧАТИ В БАНК
Самара, ул. Полевая
Белая компания (http://arti.ru/), 25 лет на рынке, ЗП (оклад + сделка) + ГСМ. Требуется опыт работы ремонта печатной техники от 1 года, личн. а/м. 
Ответят на вопросы: +7(906)764 98 81 Юлия, резюме на почту: iusaprykina@arti.ru

#вакансии@samara_it_community",0
3125,1601015401,543,2,1,"Вакансия Frontend-разработчика 

ПАО «МегаФон» ищет в свою IT-команду ребят, которым интересно заниматься созданием решений для обслуживания клиентов через online каналы мультимедии и соц.сети и работать над другими интересными цифровыми проектами!

Вам предстоит:

✔️Исследовать и внедрять новые технологии
✔️Развивать и поддерживать интерфейс проекта
✔️Принимать участие в построении архитектуры проектов
✔️Взаимодействовать с дизайнерами и командой разработчиков

Что хотят видеть у вас:

✅Высшее техническое образование;
✅Опыт коммерческой разработки интерфейсов от 1-го года
✅Знание фреймворков React.js на высоком уровне
✅Опыт работы с Figma
Опыт работы с библиотеками Redux, MobX
✅Умение работать в Unix-окружении.
✅Опыт работы с Git/Jira -Опыт в построении CI/CD

За подробностями по вакансии пишите HR Алине в telegram: @alina_HR63 

https://samara.hh.ru/vacancy/39005027

#вакансии@samara_it_community",0
3122,1600954202,565,1,0,"В связи с расширением компании требуется PHP Разработчик 
 
RoasUp.com - аналитическая платформа для управления и автоматизации рекламных кампаний в Facebook, Google, Snapchat для мировых разработчиков мобильных игр и приложений. 
 
Контакты: 
ВК: https://vk.com/d_katiq 
Телеграм: @eadodonova

#вакансии@samara_it_community",0
3118,1600929001,563,1,0,"Приглашаем 17-18 октября в Белгород на Хакатон ВКонтакте 👨🏼‍💻 
 
Вас ждут: 
- два дня интенсивной работы над кейсом в одном из треков: «Технологии», «Медиа», «Культура» и пока что секретному кейсу от компании «ВКонтакте»; 
- лекции от представителей команды ВКонтакте и региональных IT-специалистов; 
- нетворкинг и коммуникации с коллегами из разных городов страны; 
- 50.000 рублей, фирменный мерч и подарки победителям; 
- кофе, пицца и многое другое🔥 
 
‼В команде может состоять от 2-х до 4-х человек 16+ лет, заявку подаёт только капитан. 
 
Белгород - единственный город в ЦФО, который проводит Хакатон ВКонтакте, потому с радостью ждут гостей из соседних регионов😎

Регистрация закрывается в 23:59 11 октября, итоговый список команд будет опубликован 13 октября. Если решили участвовать, быстрее отправляйте заявку! Участие бесплатно, количество команд ограничено 👉🏻 https://vk.cc/azZjG6 

#мероприятия@samara_it_community",0
3111,1600842601,697,8,0,"Начинающая игровая студия 
из г. Самара ищет команду разработчиков для создания игры для ПК и консоли. 
Среда разработки : Unity или Unreal engine 
Целевая платформа : PC, PS 
Ориентация : Горизонтальная 
Графика : 3d 
Стилистика графики : современный стиль — условно «реалистичный» 
Игровое время 2-2,5 часа 
Сайт olkongames.com 
""Мы уже имели опыт разработки игры на мобилку и сейчас создается игра для Пк (приключение 3D на анриле), релиз которой запланирован на май 2021. 
Мы хотим расширяться, развиваться и ищем единомышленников. 
Пишите, кому будет интересно""
 
Контакты: 
ВК: https://vk.com/id7608751 
Телеграм: [id722873|@margosha_n]

#вакансии@samara_it_community",0
3105,1600669800,2878,26,5,"Самарский Медицинский Информационно-Аналитический Центр

В отдел администрирования и технического обслуживания в МИАЦ нужен Линуксовый Падаван, а именно ученик системного администратора линукс.

Ожидания от Падавана:
Базовые знания линукса (контрольный вопрос: с первого компа есть доступ по ssh на второй комп, со второго - на третий. Напрямую нет. Как с первого компа пробросить порт так, чтобы посмотреть веб-ресурс на третьем).

А также с базовыми знаниями сетей (проверочный вопрос - чем отличается SNMP от DHCP, а также как по SNMP опросить устройство и что оно отдаст).

""Основное требование - чтобы думал головой. Вот прям сразу. Сначала думал головой, потом ломал, а потом задавал вопросы. Или сначала думал головой, потом задавал вопросы, а потом ломал.""

Обязанности:
Оказывать помощь на организацию серверной инфрастркутуры (Linux, FreeIPA) в проекте ЕМИАС (единой медицинской сети) на 20к компьютеров и >1к учреждений.

Минусы:
- Бюджетная зарплата 25-35 тысяч (поэтому падаван, а не бородатый одмин). Если чевелок не падаван, а скиллованный красноглазый одмин, то можно больше, но не сильно.
- ""Тут аццкий ад, нервная работа и постоянные переработки как на любом другом разворачивающемся проекте.""
- Рядом морг

Плюсы: 
- ""Абсолютно аццкий ад, который дико апнет абсолютно любого админа.""
- Весёлый, хорошо курящий и пьющий коллектив. 
- ""Можно уронить к чертям сервера скорой помощи и получить за это диких люлей.""
- Проект действительно огромный и хорошо выглядит в любом ИТ резюме.
- Бюджетные учреждения здравоохранения не закрывают на карантин 😊
- Рядом морг

Не удалёнка. 
Работа на территории больницы Середавина 5/2 (ну или 24/7, тут уж как пойдёт).

Писать https://vk.com/f2iber (Трошков Сергей, Начальник ОАиТО МИАЦ) 

З.Ы. Админам паблика - спасибо от админов МИАЦ!!!)))
З.Ы.Ы. Админам МИАЦ от админов паблика обратка)))

#вакансии@samara_it_community",5
3097,1600435800,741,5,1,"Регистрируйтесь или подавайте доклад на QA Meeting Point
 
Это онлайн-конференция для QA-инженеров и разработчиков, которую организуют ребята из питерской компании DINS. 
 
Мероприятие пройдет 20 октября 2020 года. Организаторы стремятся объединить инженеров из разных городов России, чтобы вместе обсудить свои «боли», интересные кейсы, проблемы, любимые (и не очень) технологии. 
 
Еще ребята готовят розыгрыши, призы за лучшие вопросы и виртуальную прогулку по Петербургу 🤩! 
 
❗ До 20 сентября принимаются доклады, чтобы поделиться своим опытом — заполни эту форму: https://forms.gle/FGfiMTx5mrJtYR5FA
 
🙌 Регистрация участников уже открыта — это бесплатно: https://mpoint.dins.ru/ 
 
#мероприятия@samara_it_community unity",0
3096,1600410600,828,10,0,"Новый выпуск Войти в IT

- Что такое умная благотворительность?
- Как на деньги, собранные на лечение одного ребенка, можно спасти 10000 человек?
- Как за 2 недели запустить IT-проект, которым воспользуются более 50 000 раз?
- Как можно войти в IT, найти свое призвание и стать героем?

Эти и другие вопросы обсудили с участковым терапевтом Дашей Сидельниковой в новом выпуске ""Войти в IT, но сначала выпьем кофе"". 

Смотрите по ссылке: https://youtu.be/qXFsF_mUtHI 

Instagram автора: https://instagram.com/for_your_gm

Подписывайтесь, ставьте 👍🏻",7
3095,1600349400,831,7,0,"Уже сегодня в 19.00 в самарском офисе
 [club46648358|Mercury Development] пройдет офлайн-встреча с Пашей Шадриным — iOS-разработчиком из Фейсбука 👨🏼‍💻

Паша из тех ребят, кто начинал свой путь в Академии Меркури. Сейчас он уехал жить в Лондон и работает в Фейсбуке. Паша расскажет про карьерный путь, последние тренды iOS-разработки и другие интересные темы.

Зарегистрироваться на встречу можно по ссылке: https://mercdev.timepad.ru/event/1432324/

#мероприятия@samara_it_community",0
3089,1600324200,668,5,0,"Семинар TrueConf про видеоконференцсвязь и удаленную работу
Технический тренинг для специалистов в области ВКС, ИТ и системных администраторов.

Когда: 29 сентября, начало в 10:00 
Где: Отель ""Граф Орлов"", ул. Куйбышева, 88 
Стоимость: бесплатно, необходима регистрация на сайте vcs.su/roadshow

В рамках семинара вы: 
- познакомитесь с инструментами для совместной работы, которые предлагает TrueConf Server — защищенная отечественная система видеоконференцсвязи, которая может работать в закрытых сетях
- пройдете обучение по развертыванию и администрированию собственного сервера ВКС
- узнаете все об интеграции TrueConf Server с уже имеющейся ИТ-инфраструктурой
- рассмотрите типовые сценарии оборудования и подготовки конференц-залов различного размера для проведения сеансов видеосвязи
- сможете задать любые интересующие вас вопросы экспертам

Каждый участник семинара получит бесплатную лицензию на 1000 пользователей для нужд своей организации сроком действия 3 месяца, официальный сертификат о прохождении обучения по организации удаленной работы с помощью TrueConf Server, а также сможет поучаствовать в розыгрыше призов от спонсоров.

#мероприятия@samara_it_community",0
